Number,Jar Number,Museum_number,PhD Tag,Species_name,Common Name,Field Collection ID,Collecting_site,Province,Country,GPS Coordinates,Collecting_year,Collecting_month,Collectiing_date,Observations,Photograph,Tagged,Dissection_date,Collector,Sex,Standard_length,Gonopodium_length,Wet-mass,Reproductive_state,Brood_number,Embryo_stage,Embryo _count,Stomach,Dry_mass,Brood_dry_mass,Brood_dry_mass_total,Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155401,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,37.8,16,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155404,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,34.7,12.4,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155407,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,32.7,13,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155411,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,34,10.8,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155412,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,37.7,15.5,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155413,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,27.5,9.8,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155414,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,37.8,16.7,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155415,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,35.4,15.2,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155418,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,33.1,15,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155420,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,28.4,11,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155422,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,34.5,13.9,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155427,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,29.1,11.6,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155428,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,36.9,14.6,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155432,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,28.1,10,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155433,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,26.5,9.7,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155435,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,29.1,11.2,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155436,None,Priapichthys annectens,Olomina,9-Jun,Rio Corocin,Guanacaste,Costa Rica,N 10o 34.919 W 85o 01.171,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,,1,36.3,14.5,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154614,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,31.2,14.5,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154615,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,34.3,16,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154616,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,32.7,14.7,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154617,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,29.3,14.5,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154618,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,32.7,15.6,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154619,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,29.3,11.3,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154620,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,25.3,10.7,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154621,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,29.3,13.4,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154622,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,24.9,11.6,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154623,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,26.6,12.5,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154624,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,26.8,12.7,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154625,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,24.9,11.3,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154626,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,23.5,11.8,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154627,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,31.2,12.4,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154628,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,22.1,9.7,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154631,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,22.8,11.1,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154632,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,22.5,9.7,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154633,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,23.9,11.3,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154634,None,Priapichthys annectens,Olomina,29-Jun,Rio Esquivalto,Guanacaste,Costa Rica,N 10o 41.231 W 85o 04.002,2006,May,5/6/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,22.4,10.1,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279240,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,35.8,16,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279241,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,25.2,10.7,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279242,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,27.8,12.6,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279243,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,25.5,11,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279244,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,31.7,14.5,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279245,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,30.6,12.1,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279246,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,29.4,13.1,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279247,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,21.4,10.6,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279248,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,22.2,10.4,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279249,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,24.2,11.7,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279250,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,32.9,15.8,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279251,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,25.7,11.5,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279252,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,30,14.4,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279253,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,32,14.5,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279254,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,30.1,14.5,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279255,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,32.4,14.6,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279208,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,23.7,10.8,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279209,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,34.8,15.3,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279210,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,28.8,,,,,,,,,,,WET,note: couldn't tell if this one's gonopodium had been cut off at the end. throw it out if you want.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279211,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,26.7,12,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279212,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,24.2,10.8,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279213,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,21.6,10,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279214,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,26,11.8,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,279215,,,,,Rio Gavilan,,,,,,,,YES,YES,8/16/22,Maren Callaway,1,32.6,15,,,,,,,,,,WET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154471,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,27.7,12.4,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154473,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,29.1,13,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154474,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,24.3,11.2,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154475,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,24,11.1,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154477,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,30.3,13,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154478,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,24.9,11.6,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154480,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,32.6,14.9,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154482,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,22.3,10.7,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154483,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,27,10.5,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154484,None,Priapichthys annectens,Olomina,1-Jun,Rio La Balsa,Alejuela,Costa Rica,N 10o 10.324 W 84o 29.881,2006,February,2/9/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,24.6,10.4,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
