Number,Jar Number,Museum_number,PhD Tag,Species_name,Common Name,Field Collection ID,Collecting_site,Province,Country,GPS Coordinates,Collecting_year,Collecting_month,Collectiing_date,Observations,Photograph,Tagged,Dissection_date,Collector,Sex,Standard_length,Gonopodium_length,Wet-mass,Reproductive_state,Brood_number,Embryo_stage,Embryo_count,Stomach,Dry_mass,Brood_dry_mass,Brood_dry_mass_total,Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,28,155578,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,52.9,,3.456,1,1,11,16,YES,0.6634,0.101,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,28,155579,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,0,35,,0.9654,0,0,NA,NA,YES,0.2005,NA,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,28,155584,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,36.4,,1.1058,1,1,3,4,YES,0.2391,0.0125,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,28,155586,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,41.1,,1.2256,1,1,4,3,YES,0.2659,0.0106,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,28,155589,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,38.8,,0.8361,1,1,8,5,YES,0.2072,0.0142,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,28,155590,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,0,34.3,,0.7358,0,0,NA,NA,YES,0.1466,NA,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,28,155592,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/1/22,Erik Johnson,2,51.7,,2.659,1,1,4,10,YES,0.5365,0.0578,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,28,155593,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,0,33.5,,0.6863,0,0,NA,NA,YES,0.1466,NA,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,28,155598,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/1/22,Erik Johnson,2,56.4,,,1,1,4,9,YES,0.7405,0.0496,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,28,155600,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/1/22,Erik Johnson,2,45.5,,2.127,1,1,3,4,YES,0.4303,0.0039,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
